,0
481,group_2289
482,group_297
483,group_1982
484,parA_2
485,group_81
486,group_341
487,group_2461
488,gatC
489,pilY1_2
490,group_637
491,group_2177
492,traJ
493,group_1763
494,group_2466
495,prtR_1
496,group_352
497,virB4
498,group_413
499,group_2468
500,group_2542
501,traG
502,traI
503,group_1809
504,group_924
505,group_572
506,group_605
507,epsD
508,lex1_1
509,group_1856
510,traC_2
511,group_1754
512,nrdR
513,group_1784
514,group_2474
515,group_274
516,group_758
517,group_2476
518,group_1121
519,group_156
520,group_2475
521,bcr
522,group_2593
523,group_1755
524,group_94
525,group_754
526,group_1188
527,hin
528,group_2431
529,group_2214
530,rsmJ
531,group_2469
532,group_1845
533,group_944
534,rsmD
535,group_2467
536,group_1753
537,group_1184
538,group_2465
539,group_1736
540,ydiO
541,korB
542,group_47
543,group_957
544,group_1518
545,trfA
546,group_89
547,dpnC
548,group_340
549,group_1852
550,group_1517
551,group_1713
552,group_1516
553,group_799
554,group_535
555,group_51
556,rnc
557,group_752
558,group_17
559,group_401
560,cysI_2
561,group_124
562,lagD_1
563,group_2082
564,group_1192
565,xanQ_2
566,group_1863
567,group_1166
568,group_136
569,group_1854
570,group_309
571,group_400
572,group_204
573,group_751
574,group_939
575,group_753
576,group_1180
577,group_1183
578,group_1848
579,group_1851
580,dsbC_1
581,group_757
582,group_1182
583,group_1187
584,group_1130
585,prlF
586,group_399
587,group_1862
588,group_1849
589,group_1181
590,group_166
591,group_1846
592,group_537
593,traC
594,group_1471
595,topB
596,group_536
597,group_1861
598,group_1860
599,repE
600,group_1191
601,yhaV
602,yhdE
603,group_756
604,group_1850
605,group_250
606,group_2537
607,group_1864
608,group_1189
609,group_1855
610,cysNC
611,group_1865
612,group_2538
613,tnpR
614,group_1556
615,group_300
616,group_254
617,group_804
618,group_1765
619,group_1253
620,group_155
621,group_1052
622,pezT
623,group_1259
624,group_2499
625,group_78
626,group_1876
627,group_410
628,group_789
629,group_750
630,group_1524
631,group_1387
632,group_61
633,group_2063
