"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_915","","NgoFVII restriction endonuclease","145","112","153","9","48.65771812080537","7.43801652892562","0.07615546218487394","3.5052316629195665e-19","1.2341920685139794e-15","4.255834719013722e-17","13","4","9","0.266845703125","0.266845703125"
"group_1860","","Type-1V conjugative transfer system mating pair stabilisation","163","116","135","5","54.69798657718121","4.132231404958678","0.0520434227330779","4.612468236288652e-19","1.6240500659972344e-15","5.413500219990781e-17","2","1","2","0.5","1.0"
"group_2052","","hypothetical protein","152","9","146","112","51.006711409395976","92.56198347107438","12.955859969558599","8.373003785275087e-19","2.9481346327953582e-15","5.655958055990798e-17","13","9","4","0.266845703125","0.266845703125"
"group_437","","AAA domain, putative AbiEii toxin, Type IV TA system","152","9","146","112","51.006711409395976","92.56198347107438","12.955859969558599","8.373003785275087e-19","2.9481346327953582e-15","5.655958055990798e-17","13","9","4","0.266845703125","0.266845703125"
"group_1187","","F plasmid transfer operon protein","164","116","134","5","55.033557046979865","4.132231404958678","0.05275347400926402","9.47993664957947e-19","3.337885694316931e-15","5.655958055990798e-17","2","1","2","0.5","1.0"
"group_1188","","hypothetical protein","164","116","134","5","55.033557046979865","4.132231404958678","0.05275347400926402","9.47993664957947e-19","3.337885694316931e-15","5.655958055990798e-17","2","1","2","0.5","1.0"
"group_1190","","TraL protein","164","116","134","5","55.033557046979865","4.132231404958678","0.05275347400926402","9.47993664957947e-19","3.337885694316931e-15","5.655958055990798e-17","2","1","2","0.5","1.0"
"group_204","","hypothetical protein","164","116","134","5","55.033557046979865","4.132231404958678","0.05275347400926402","9.47993664957947e-19","3.337885694316931e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_310","","hypothetical protein","164","116","134","5","55.033557046979865","4.132231404958678","0.05275347400926402","9.47993664957947e-19","3.337885694316931e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1181","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1183","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1184","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"prlF","","Antitoxin PrlF","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1189","","TraU protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1191","","TraM recognition site of TraD and TraG","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1192","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
