,0
477,group_1632
478,group_1915
479,tbpB_1
480,group_3326
481,group_2852
482,group_3257
483,group_3765
484,group_750
485,group_3504
486,cdiI4
487,pilY1_1
488,group_1982
489,group_343
490,group_3547
491,group_3348
492,group_3651
493,group_2800
494,group_3556
495,group_485
496,group_3431
497,group_3258
498,group_3670
499,group_1538
500,group_3061
501,group_3650
502,group_3503
503,group_2747
504,group_112
505,group_2568
506,group_900
507,group_91
508,group_3065
509,group_2997
510,group_3376
511,group_968
512,group_366
513,group_472
514,group_241
515,group_3102
516,group_2535
517,group_2992
518,group_76
519,group_3393
520,group_3347
521,group_2340
522,virB4
523,group_3653
524,group_355
525,group_2795
526,group_945
527,group_3505
528,group_1648
529,group_2525
530,mepH_2
531,group_3057
532,group_3325
533,group_3520
534,group_1623
535,group_3660
536,group_3346
537,group_1775
538,group_354
539,group_103
540,group_1633
541,efeB_1
542,group_2486
543,group_612
544,group_916
545,yigL
546,group_1163
547,group_3345
548,group_2287
549,group_3657
550,group_2339
551,group_3500
552,group_588
553,group_435
554,group_2265
555,group_1736
556,group_3795
557,group_3668
558,group_3154
559,group_3576
560,group_918
561,group_2544
562,group_3519
563,group_3499
564,group_2558
565,group_3324
566,group_976
567,group_1052
568,group_622
569,group_644
570,group_660
571,group_3666
572,group_3794
573,group_467
574,group_3521
575,group_2799
576,group_905
577,group_1011
578,group_3502
579,group_3553
580,group_995
581,group_2683
582,group_1187
583,group_1476
584,pilE_16
585,group_3809
586,group_463
587,group_434
588,cvaA_2
589,group_346
590,group_3822
591,group_3642
592,group_227
593,group_1051
594,group_3639
595,group_1735
596,leuC
597,group_1563
598,group_3799
599,group_2301
600,group_1566
601,group_1460
602,group_3518
603,group_1581
604,group_79
605,malP_3
606,group_1507
607,group_1531
608,group_1284
609,group_3025
610,group_116
611,pilE_1
612,group_1310
613,group_3552
614,group_1576
615,group_3833
616,piiC_5
617,group_1047
618,group_3798
619,group_3792
620,group_2511
621,group_1500
622,group_2357
623,group_3838
624,group_2783
625,group_4044
626,group_2004
627,group_991
